v	I	Error	
2.27	200.723	14
3.63	327.770	23
4.99	381.493	18
6.35	368.833	14
7.71	316.076	11
9.08	248.239	12
10.44	183.262	18
11.80	128.835	23
13.16	87.036	22
14.52	57.008	19
15.88	36.352	21
17.24	22.644	28
18.61	13.811	33
19.97	8.364	55
21.33	4.523	282
2.72	249.508	19
4.08	354.081	22
5.45	383.478	18
6.81	354.063	13
8.17	293.924	10
9.53	225.940	14
10.89	163.830	22
12.25	113.568	23
13.61	75.876	21
14.97	49.223	19
16.34	31.062	23
17.70	19.255	30
19.06	11.716	35
20.42	7.087	88
3.18	293.024	25
4.54	372.079	21
5.90	378.901	16
7.26	336.278	12
8.62	271.432	11
9.98	204.327	16
11.34	145.750	22
12.71	99.451	23
14.07	65.766	20
15.43	42.267	19
16.79	26.580	26
18.15	16.391	32
19.51	9.921	41
20.87	5.801	155
